ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΟΓΕΡΑ-ΜΙΧΑΛΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Γεωργίου,ΜΙΧΑΗΛΙΔΗΣ ΑΝΔΡΕΑΣ του Φραγκούλη,ΠΕΙΡΑΝΤΑΚΟΥ ΣΕΒΑΣΤΗ του Ιωάννη,ΣΕΡΓΗΣ ΦΡΑΓΚΙΣΚΟΣ του Ευαγγέλου,Νέα Δημοκρατία,ΜΗΤΑΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΝΟΤΗΣ) του Αντωνίου,ΜΙΧΑΗΛΙΔΗΣ ΣΤΑΥΡΟΣ του Γεωργίου,ΜΠΟΥΡΝΙΑ ΙΣΑΒΕΛΛΑ του Αδαμαντίου,ΠΟΤΑΜΟΥΣΗ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Ηρακλή,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΟΥΛΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΩΤΙΔΟΥ ΜΑΡΙΑ του Ιωακείμ,ΜΗΝΙΩΤΗΣ ΜΙΧΑΗΛ του Δημητρίου,Κίνημα Αλλαγής,ΑΜΕΝΤΑΣ ΓΕΩΡΓΙΟΣ του Αντωνίου,ΔΑΝΙΗΛ ΕΙΡΗΝΗ του Νικολάου,ΛΑΜΠΡΙΝΟΥΔΗΣ ΠΟΛΥΔΩΡΟΣ του Εμμανουήλ,ΜΑΘΙΟΥΔΗ ΑΜΑΛΙΑ του Ισιδώρου,Κ.Κ.Ε.,ΑΜΠΑΖΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΔΙΑΚΟΡΩΝΑ ΜΑΡΙΑ- ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) συζ. Νικολάου,ΜΙΧΑΛΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Νικολάου,ΠΑΛΗΟΥ ΧΡΙΣΤΙΝΑ - ΕΙΡΗΝΗ του Ιωάννη,Ένωση Κεντρώων,ΔΗΜΟΣ ΒΑΣΙΛΗΣ του Αντωνίου,ΜΑΡΑΤΣΟΥ ΑΝΔΡΟΝΙΚΗ του Δημητρίου,Ο.Κ.Δ.Ε.,ΚΟΥΡΙΛΑ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΠΟΣΤΟΛΙΔΗΣ ΖΑΝΝΗΣ του Μικέ,Ελλήνων Συνέλευσις,ΠΑΡΑΣΚΕΥΑΣ ΣΤΕΦΑΝΟΣ του Κοσμά,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΔΟΥΡΗΣ ΕΛΕΥΘΕΡΙΟΣ του Ισιδώρου,ΖΗΡΡΙΑ ΕΛΕΝΗ του Γεωργίου,ΚΟΣΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στυλιανού,Κ.Κ.Ε. (μ-λ),ΓΙΑΝΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Απόστολου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΗ ΧΡΥΣΟΥΛΑ του Ιωσήφ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΘΑΝΑΣΙΑΔΟΥ ΚΥΡΙΑΚΗ του Νικολάου,ΜΠΑΛΟΜΟΥΤΣΟΥΝΟΣ ΣΤΑΜΑΤΙΟΣ του Παναγιώτη,Λαϊκή Ενότητα,ΓΟΥΤΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΜέΡΑ25,ΚΙΟΣΠΕΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΣΤΑΥΡΟΥ ΧΡΥΣΑΝΘΗ (ΧΡΥΣΑ) του Κωνσταντίνου,Δημιουργία ξανά - Θ. Τζήμερος,ΝΙΚΟΥ ΠΕΡΙΣΤΕΡΑ του Δημητρίου,ΣΤΑΜΑΤΙΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΑΡΖΕΝΤΑ ΜΑΡΙΕΤΤΑ του Βιδιάνου
49 - Χίου,1 E.T. Δήμου Οινουσσών,457,168,6,2,8,160,28,5,18,1,2,82,51,21,3,0,8,6,2,0,15,4,0,8,2,12,5,2,4,1,4,2,1,0,0,0,0,0,0,4,2,0,2,1,1,0,0,1,0,0,1,0,2,0,1,2,1,0,0,0
49 - Χίου,2 E.T. Δήμου Οινουσσών,469,128,1,0,1,127,25,3,18,1,0,74,25,41,3,0,2,1,1,0,12,2,2,6,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,1
49 - Χίου,3 E.T. Δήμου Οινουσσών,460,148,2,0,2,146,32,4,18,3,2,75,35,33,6,0,3,0,0,1,9,1,0,8,0,18,10,0,7,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,2,1,0,0,0,0
49 - Χίου,4 E.T. Δήμου Χίου,490,323,4,2,6,317,57,20,20,3,1,177,29,135,7,3,4,2,2,0,50,18,1,16,11,7,6,0,0,1,1,1,0,0,0,0,0,1,0,7,1,5,1,0,0,0,0,2,1,0,0,0,7,3,3,0,0,0,4,2
49 - Χίου,5 E.T. Δήμου Χίου,454,308,4,3,7,301,94,16,47,4,5,122,18,96,4,1,5,4,0,0,46,13,0,23,7,6,4,0,0,0,1,1,0,0,0,0,0,0,0,12,1,6,0,0,0,0,0,0,0,0,2,1,7,2,1,0,0,0,6,4
49 - Χίου,6 E.T. Δήμου Χίου,466,304,9,0,9,295,68,9,31,2,9,135,28,103,2,1,13,11,0,0,35,14,1,8,9,18,7,3,1,1,1,1,0,1,1,0,0,0,0,12,3,3,1,0,0,0,0,1,0,0,1,1,7,2,3,2,1,0,1,1
49 - Χίου,7 E.T. Δήμου Χίου,450,295,4,2,6,289,59,13,21,3,5,150,29,111,5,2,6,3,0,1,42,15,0,16,6,9,3,0,1,3,4,2,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,11,3,6,0,0,0,3,0
49 - Χίου,8 E.T. Δήμου Χίου,468,301,3,2,5,296,58,8,31,1,3,157,32,117,5,1,11,6,3,1,38,14,0,18,5,8,5,0,0,2,2,2,0,0,0,0,0,0,0,7,1,1,1,0,0,0,0,2,1,0,1,1,8,3,3,0,0,0,4,3
49 - Χίου,9 E.T. Δήμου Χίου,387,232,5,1,6,226,55,8,30,0,2,102,43,54,1,2,10,8,0,0,34,9,0,20,1,16,2,5,0,6,1,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
49 - Χίου,10 E.T. Δήμου Χίου,352,190,3,0,3,187,39,10,18,1,4,93,38,54,1,0,1,0,0,1,34,0,0,24,1,5,2,0,0,1,2,0,0,0,0,0,0,1,1,4,0,2,2,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,2,1
49 - Χίου,11 E.T. Δήμου Χίου,402,183,3,3,6,177,44,0,32,2,2,89,42,16,3,25,8,6,1,0,16,5,0,11,0,6,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,0,0,0,7,5
49 - Χίου,12 E.T. Δήμου Χίου,345,112,0,0,0,112,29,7,13,2,2,48,18,11,1,13,2,0,0,0,19,6,0,7,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,6,1,1,1,0,0,1,1
49 - Χίου,13 E.T. Δήμου Χίου,167,49,0,1,1,48,3,0,3,0,0,37,10,20,0,7,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
49 - Χίου,14 E.T. Δήμου Χίου,109,49,1,0,1,48,9,1,6,0,1,26,9,7,6,4,1,1,0,0,8,3,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,15 E.T. Δήμου Χίου,105,35,0,0,0,35,8,0,3,0,2,9,5,1,0,2,0,0,0,0,9,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0
49 - Χίου,16 E.T. Δήμου Χίου,362,73,0,0,0,73,9,2,4,1,0,43,8,26,3,3,3,1,1,0,10,3,0,4,1,3,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0
49 - Χίου,17 E.T. Δήμου Χίου,121,30,0,0,0,30,5,0,2,0,3,16,8,4,3,1,0,0,0,0,5,1,0,4,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
