ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΒΡΑΜΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Αντωνίου,ΑΝΘΟΥΛΑΚΗ ΚΑΦΕΝΙΑ του Αθανασίου,ΒΕΛΛΙΚΗ ΚΥΡΙΑΚΗ του Φιντία,ΔΕΜΕΡΤΖΗΣ ΜΙΧΑΗΛ του Αθανασίου,ΚΑΡΠΟΥΧΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ηλία,ΛΑΣΠΑΣ ΑΝΑΣΤΑΣΙΟΣ του Ευαγγέλου,ΣΤΑΜΠΟΥΛΗ ΑΦΡΟΔΙΤΗ του Αποστόλου,ΦΩΤΙΟΥ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Νέα Δημοκρατία,ΑΡΑΜΠΑΤΖΗ ΦΩΤΕΙΝΗ του Αθανασίου,ΓΚΟΛΕΜΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΚΑΡΑΜΑΝΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αχιλλέα,ΛΕΟΝΤΑΡΙΔΗΣ ΘΕΟΦΙΛΟΣ του Χρήστου,ΜΠΑΤΖΙΟΥ ΙΩΑΝΝΑ του Δημητρίου,ΜΠΙΤΖΙΔΟΥ ΣΟΦΙΑ του Αλέξανδρου,ΧΑΤΖΗΒΑΣΙΛΕΙΟΥ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Γεωργίου,ΧΙΩΤΗ ΑΝΔΡΟΜΑΧΗ του Βασιλείου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΡΒΑΝΙΤΗΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΙΩΑΝΝΟΥ ΑΓΓΕΛΟΣ του Γεωργίου,ΚΑΛΟΓΕΡΟΥΔΗ ΙΩΑΝΝΑ του Γεωργίου,ΠΑΝΤΑΖΗΣ ΓΕΩΡΓΙΟΣ του Χριστοδούλου,ΠΑΤΣΑΛΗ ΦΩΤΕΙΝΗ του Κυριάκου,ΤΣΩΤΣΟΣ ΙΩΑΝΝΗΣ του Πέτρου,Κίνημα Αλλαγής,ΓΚΙΟΥΡΑ ΒΑΣΙΛΙΚΗ του Παναγιώτη,ΙΧΤΣΗ ΑΝΔΡΟΜΑΧΗ του Δημητρίου,ΜΑΚΚΙΝΑΣ ΚΥΡΙΑΚΟΣ του Νικολάου,ΟΙΚΟΝΟΜΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΟΦΙΑΝΟΥ ΦΑΝΟΥΛΑ του Γεωργίου,ΤΖΕΛΕΠΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΤΟΣΙΟΣ ΠΑΣΧΑΛΗΣ του Θωμά,ΤΣΕΡΒΙΣΤΑΣ ΜΙΧΑΗΛ του Ευαγγέλου,Κ.Κ.Ε.,ΑΓΓΕΛΑΚΗΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΒΕΡΤΖΩΝΗΣ ΕΜΜΑΝΟΥΗΛ (ΜΑΝΟΣ) του Οδυσσέα,ΜΠΡΟΥΝΤΖΙΟΥ ΖΩΗ του Θεόδωρου,ΠΑΝΑΓΙΩΤΟΥ ΘΕΜΙΣΤΟΚΛΗΣ (ΘΕΜΗΣ) του Σταύρου,ΣΑΡΑΝΤΙΔΟΥ ΕΡΜΟΦΥΛΗ (ΦΙΛΙΩ) του Χαραλάμπους,ΣΠΕΝΤΖΟΥ ΕΥΘΥΜΙΑ (ΕΦΗ) του Γεωργίου,ΦΑΡΜΑΚΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΧΟΥΒΑΡΔΑΣ ΙΩΑΝΝΗΣ του Κυριάκου,Ένωση Κεντρώων,ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΤΑΤΙΑΝΑ του Φωτίου,ΚΩΤΑΝΟΓΛΟΥ ΚΥΡΙΑΖΗΣ του Ιωάννη,ΜΠΟΥΡΑ ΕΥΘΥΜΙΑ του Σταυρογιάννη,ΝΙΚΟΛΑΟΥ ΣΟΦΙΑ του Σωτηρίου,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΤΣΙΦΤΣΗΣ ΧΡΗΣΤΟΣ του Μιχαήλ,Ο.Κ.Δ.Ε.,ΣΜΥΡΛΗΣ ΙΩΑΝΝΗΣ του Αντωνίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΡΑΒΑΝΗ ΚΑΤΕΡΙΝΑ του Δημητρίου,ΓΡΗΓΟΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Αχιλλέα,ΣΤΟΪΛΙΔΗΣ ΘΕΟΔΩΡΟΣ (ΡΟΡΗΣ) του Ευαγγέλου,Ελλήνων Συνέλευσις,ΑΛΜΑΣΙΔΗΣ ΛΕΩΝΙΔΑΣ του Σπυρίδωνα,ΓΕΩΡΓΙΑΔΗΣ ΗΛΙΑΣ του Γεωργίου,ΖΑΓΓΕΛΙΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Θεοκλήτου,ΚΟΤΣΑΡΙΔΟΥ ΑΝΑΤΟΛΗ του Θωμά,ΝΑΟΥΜ ΣΟΥΛΤΑΝΑ του Στεργίου,ΤΖΙΝΤΖΙΟΣ ΣΤΕΡΓΙΟΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΡΒΕΡΗ ΖΩΓΡΑΦΙΑ του Θεοχάρη,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου,ΙΑΤΡΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παρασκευά,ΜΠΑΔΕΚΑΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΜΠΟΥΜΠΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΠΡΙΛΑΚΗ ΣΟΦΙΑ του Ευαγγέλου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΝΗ του Συμεών,ΣΤΡΕΙΔΟΥ ΠΑΣΧΑΛΙΑ του Αργυρίου,Κ.Κ.Ε. (μ-λ),ΖΑΧΑΡΙΚΟΥ ΔΗΜΗΤΡΑ του Ζαχαρία,ΠΑΥΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,Μ-Λ Κ.Κ.Ε.,ΜΠΑΤΑΓΙΑ ΑΡΓΥΡΩ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΒΑΝΙΤΑΚΗΣ ΑΠΟΣΤΟΛΟΣ του Παντελή,ΚΑΛΟΓΡΑΙΑΚΗ ΣΟΦΙΑ του Αθανασίου,ΜΑΥΡΟΜΑΤΗ ΑΓΑΘΩ του Θεοχάρη,ΧΑΤΖΗΝΙΚΟΛΑΟΥ ΜΙΧΑΗΛ του Κωνσταντίνου,Λαϊκή Ενότητα,ΘΕΟΔΩΡΙΔΟΥ ΑΛΕΞΙΑ του Παντελή,ΠΑΠΑΪΩΑΝΝΟΥ ΣΤΑΥΡΟΣ του Γεωργίου,ΜέΡΑ25,ΑΓΙΑΝΝΙΔΟΥ ΧΡΙΣΤΙΑΝΑ του Χαραλάμπους,ΓΙΑΝΤΣΙΟΣ ΙΩΑΝΝΗΣ του Νικολάου,ΓΛΟΥΦΤΣΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αναστασίου,ΔΑΓΚΟΥΛΗΣ ΧΡΗΣΤΟΣ του Αποστόλου,ΙΩΑΝΝΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΚΩΣΤΗΣ) του Παύλου,ΛΙΟΥΤΑ ΙΩΑΝΝΑ του Δημητρίου,ΦΛΩΡΟΥ ΣΟΦΙΑ του Αριστείδη,Δημιουργία ξανά - Θ. Τζήμερος,ΚΟΥΦΟΚΩΤΣΙΟΣ ΜΑΛΑΜΑΣ του Δημητρίου,ΛΑΓΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Στυλιανού,ΜΟΥΡΛΙΟΥΚΑ ΓΕΩΡΓΙΑ του Αθανασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΑΜΑΡΗΣ ΜΙΧΑΗΛ του Κωνσταντίνου
8 - Σερρών,1 E.T. Δήμου Αμφίπολης,478,267,1,1,2,265,53,21,8,11,6,2,5,11,11,125,63,13,46,41,9,6,26,3,9,4,3,1,3,1,0,25,1,0,2,5,2,21,14,1,9,0,1,6,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,2,1,4,18,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,3,1,0,0,3,1,1,0,0,0,0,5,0
8 - Σερρών,2 E.T. Δήμου Αμφίπολης,536,352,6,1,7,345,84,28,7,25,5,3,6,10,7,102,20,9,72,36,0,0,16,5,5,0,0,0,0,0,0,66,0,1,15,31,0,48,2,0,47,6,22,8,3,18,2,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,5,0,1,1,2,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,17,1,2,0,1,1,2,5,4,0,0,0,4,0
8 - Σερρών,3 E.T. Δήμου Αμφίπολης,364,216,3,3,6,210,38,5,2,7,6,1,6,10,1,121,46,4,78,19,18,2,20,10,4,1,3,1,0,0,0,7,1,0,1,5,0,3,0,0,8,1,0,1,2,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2,4,3,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,0,0,0,1,1,5,0,0,0,1,0
8 - Σερρών,4 E.T. Δήμου Αμφίπολης,371,221,7,0,7,214,48,10,6,3,3,2,5,10,7,118,41,5,62,13,19,3,25,2,8,5,0,1,0,0,1,11,1,0,2,5,0,7,0,0,6,1,1,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,3,2,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,2,1,1,0,0,0,2,0
8 - Σερρών,5 E.T. Δήμου Αμφίπολης,545,286,2,1,3,283,58,27,13,6,2,3,2,17,4,160,88,13,63,33,8,2,24,17,6,4,1,1,1,0,1,27,2,0,5,17,1,16,1,3,8,2,4,2,0,6,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,1,0,1,1,1,0,0,0,3,2
8 - Σερρών,6 E.T. Δήμου Αμφίπολης,527,282,1,1,2,280,57,26,4,9,2,5,6,14,2,133,52,23,69,31,6,4,32,6,10,2,1,0,1,2,1,37,4,0,10,18,5,18,1,1,12,4,3,3,1,5,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,1,17,5,4,2,1,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,1,3,1,0,0,0,0,0
8 - Σερρών,7 E.T. Δήμου Αμφίπολης,530,278,2,0,2,276,58,22,2,9,5,5,7,8,2,130,69,21,47,35,4,3,38,4,7,4,2,1,1,0,1,36,0,1,10,23,2,20,0,1,4,0,0,0,1,0,2,0,0,11,3,1,0,0,3,4,0,0,0,0,0,0,2,0,0,0,0,0,2,19,4,1,1,7,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,1,0,0,0,5,0
8 - Σερρών,8 E.T. Δήμου Αμφίπολης,515,232,2,1,3,229,52,18,5,10,5,2,5,10,6,100,49,7,47,23,3,1,29,2,6,0,0,0,0,0,0,40,3,2,9,15,7,22,0,0,9,2,5,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,6,7,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0
8 - Σερρών,9 E.T. Δήμου Αμφίπολης,290,110,1,1,2,108,28,6,8,7,1,10,5,2,1,43,12,15,29,12,0,1,6,2,4,3,1,2,2,0,0,7,1,0,1,0,0,5,3,0,17,0,13,1,2,11,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
8 - Σερρών,10 E.T. Δήμου Αμφίπολης,334,145,1,0,1,144,34,5,2,19,0,4,1,5,0,77,32,20,36,31,2,1,14,2,4,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,10,1,5,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0
8 - Σερρών,11 E.T. Δήμου Αμφίπολης,530,248,4,1,5,243,61,9,8,19,4,12,13,12,4,112,53,16,54,48,1,1,26,1,6,0,0,0,0,0,0,9,1,0,0,7,2,5,0,0,21,3,10,1,1,9,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,6,7,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1,0,1,2,0,1,0,0,0,5,0
8 - Σερρών,12 E.T. Δήμου Αμφίπολης,559,228,3,2,5,223,53,7,7,18,5,5,8,11,6,104,46,7,43,49,4,3,21,1,3,3,0,1,0,0,0,12,0,0,0,4,5,5,1,0,18,2,11,2,2,12,1,0,0,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,2,1,3,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,12,2,3,1,0,5,2,1,0,0,0,0,2,1
8 - Σερρών,13 E.T. Δήμου Αμφίπολης,359,162,1,1,2,160,12,4,1,2,2,1,0,3,0,99,38,33,41,28,3,3,25,0,13,8,1,2,1,5,1,13,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,11,5,2,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,2,0,0,4,2,1,0,0,0,0,2,0
8 - Σερρών,14 E.T. Δήμου Αμφίπολης,423,180,1,1,2,178,23,7,5,5,4,1,2,7,0,118,35,35,64,41,1,1,37,1,4,0,0,0,0,0,0,12,0,0,1,8,0,7,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,14,1,1,2,0,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
8 - Σερρών,15 E.T. Δήμου Αμφίπολης,375,178,1,0,1,177,16,5,1,5,0,3,2,4,0,113,33,30,68,41,0,0,32,3,1,1,0,0,0,1,0,26,3,0,1,5,1,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,15,2,4,2,3,1,5,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
8 - Σερρών,16 E.T. Δήμου Αμφίπολης,314,77,0,0,0,77,18,5,0,1,7,0,5,0,0,47,16,1,28,9,1,2,25,1,1,0,0,1,0,1,0,5,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
8 - Σερρών,17 E.T. Δήμου Αμφίπολης,339,83,1,0,1,82,28,2,4,4,14,1,3,2,0,35,14,0,15,19,2,0,7,0,3,0,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
8 - Σερρών,18 E.T. Δήμου Αμφίπολης,504,295,7,5,12,283,55,4,7,36,0,5,3,11,3,167,33,8,141,33,10,3,38,4,9,3,2,4,3,1,0,9,0,2,3,5,1,4,2,0,21,1,15,2,1,10,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,2,0,0,0,0,0,0,7,0
8 - Σερρών,19 E.T. Δήμου Αμφίπολης,524,275,5,2,7,268,45,6,3,30,0,1,3,8,7,159,31,5,131,27,8,6,31,2,5,1,1,0,1,1,1,11,1,0,6,2,1,3,1,0,24,0,20,0,1,9,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,1,4,0,0,1,0,0,0,4,0
8 - Σερρών,20 E.T. Δήμου Αμφίπολης,503,290,7,2,9,281,59,8,5,42,3,7,4,14,5,145,35,11,135,20,9,3,4,4,9,4,2,2,4,0,1,14,0,0,5,3,0,3,4,0,22,0,19,0,0,14,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,3,0,3,0,1,2,1,0,0,1,0,3,0,0,0,0,0,0,0,6,1,0,0,0,1,1,2,2,0,0,0,1,0
8 - Σερρών,21 E.T. Δήμου Αμφίπολης,513,276,4,2,6,270,37,4,2,17,0,4,7,5,3,162,28,3,127,27,7,3,32,4,7,5,1,1,0,0,1,26,1,0,13,0,2,17,5,0,26,2,22,7,0,8,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,6,0,1,1,0,2,0,1,1,0,0,1,0,0
8 - Σερρών,22 E.T. Δήμου Αμφίπολης,506,277,7,1,8,269,73,22,20,20,4,4,2,16,16,134,53,8,56,74,2,1,15,1,2,0,0,0,0,0,0,25,0,0,9,9,0,10,7,1,10,0,2,1,0,6,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,3,3,2,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0
8 - Σερρών,23 E.T. Δήμου Αμφίπολης,374,207,2,1,3,204,31,10,1,7,5,4,11,9,3,117,30,10,88,20,2,2,21,5,7,3,2,1,1,1,0,11,0,0,3,8,2,3,0,0,12,0,9,6,0,4,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,1,0,3,10,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,2,0,0,0,3,0
8 - Σερρών,24 E.T. Δήμου Αμφίπολης,424,232,1,3,4,228,48,3,7,15,1,7,5,16,7,131,53,6,101,27,5,2,17,2,5,0,0,0,0,0,0,13,1,1,1,6,1,5,2,0,10,0,3,1,3,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,3,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,1,0,1,0,3,1,0,0,0,1,0
8 - Σερρών,25 E.T. Δήμου Αμφίπολης,528,280,1,6,7,273,55,4,6,14,3,13,10,15,9,133,44,13,57,57,3,1,29,5,6,3,2,1,1,0,1,27,0,0,2,13,6,13,3,0,22,2,4,1,2,9,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,4,2,3,0,11,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,3,2,0,1,2,1,1,1,0,0,1,0,0
8 - Σερρών,26 E.T. Δήμου Αμφίπολης,479,284,1,2,3,281,48,10,2,21,4,2,7,8,3,133,41,14,61,37,8,3,45,5,7,3,2,2,1,2,0,33,1,0,9,21,1,14,1,1,21,2,8,5,1,6,0,3,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,3,3,2,10,1,0,0,0,0,0,0,0,2,1,2,0,1,1,1,1,6,1,1,0,1,2,0,0,5,2,2,0,5,4
8 - Σερρών,27 E.T. Δήμου Αμφίπολης,504,288,1,2,3,285,101,13,10,23,8,15,18,33,22,101,31,10,38,29,0,3,29,3,3,1,0,0,0,0,0,11,0,1,3,7,2,4,1,0,40,4,19,11,4,17,2,4,2,6,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,7,1,0,1,0,4,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,2,0,0,0,1,0,0,3,1,2,1,4,2
8 - Σερρών,28 E.T. Δήμου Αμφίπολης,465,274,3,4,7,267,70,7,6,23,3,6,14,11,9,115,33,14,41,49,4,1,19,2,6,2,2,0,1,2,0,17,0,0,4,5,2,9,3,0,31,4,16,11,2,11,2,4,1,8,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,9,0,0,0,1,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,4,0
8 - Σερρών,29 E.T. Δήμου Αμφίπολης,477,281,5,0,5,276,71,10,9,20,3,6,12,19,8,115,46,11,45,26,9,2,34,4,5,2,1,0,0,2,0,20,0,1,3,7,5,6,6,0,32,2,8,8,3,8,0,3,0,3,2,0,2,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,8,1,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,14,2,1,0,0,1,0,3,0,0,0,0,4,3
8 - Σερρών,30 E.T. Δήμου Αμφίπολης,296,170,6,2,8,162,24,13,3,2,0,5,6,4,2,71,40,17,20,20,0,3,19,1,7,3,1,2,1,3,1,36,0,1,6,27,2,10,3,0,6,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,2,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,1,1,0,0,0,0,0,1,0
8 - Σερρών,31 E.T. Δήμου Αμφίπολης,322,158,3,1,4,154,32,0,4,9,3,3,6,3,5,65,29,4,22,23,3,1,10,5,5,1,4,0,0,0,0,32,2,0,16,16,6,5,0,0,6,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8 - Σερρών,32 E.T. Δήμου Αμφίπολης,346,198,1,0,1,197,24,5,4,8,2,1,1,3,8,96,39,5,49,20,6,4,24,7,5,0,0,0,0,0,0,39,0,0,18,20,10,8,2,0,18,2,11,1,5,7,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,1,1,3,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0
8 - Σερρών,33 E.T. Δήμου Βισαλτίας,492,241,2,0,2,239,54,10,11,6,5,5,4,15,6,95,31,9,42,19,3,2,40,12,9,0,0,0,0,0,0,24,0,0,1,10,0,13,2,1,26,4,0,0,12,4,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,3,1,2,2,3,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,8,2,3,1,1,1,3,0,1,0,0,0,2,0
8 - Σερρών,34 E.T. Δήμου Βισαλτίας,582,228,4,1,5,223,51,8,15,2,4,8,3,15,7,104,41,15,36,25,2,2,38,6,8,4,2,2,1,3,0,15,1,0,0,3,1,11,2,11,14,9,0,0,5,4,1,1,3,5,3,1,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,12,2,1,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,0,0,0,1,0,0,0,0,0,3,1
8 - Σερρών,35 E.T. Δήμου Βισαλτίας,518,277,1,1,2,275,42,10,8,6,4,11,6,8,3,151,72,11,60,32,11,2,47,18,10,0,0,0,0,0,0,29,0,1,1,7,3,20,2,12,7,1,1,2,0,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,3,5,2,6,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,4,0,1,6,0,0,0,2,0
8 - Σερρών,36 E.T. Δήμου Βισαλτίας,458,246,3,1,4,242,66,18,6,6,2,16,15,6,2,91,35,11,39,15,14,1,21,10,4,3,0,2,0,0,1,35,0,1,1,8,1,28,4,6,10,3,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,2,2,4,1,2,1,4,1,0,0,0,0,0,2,0,0,0,0,1,0,0,5,2,2,1,0,1,1,1,6,0,0,0,1,0
8 - Σερρών,37 E.T. Δήμου Βισαλτίας,382,179,2,0,2,177,34,8,7,9,4,1,3,12,2,91,33,2,27,17,19,1,32,9,8,5,0,1,1,0,0,15,0,0,1,13,0,0,1,0,9,1,0,1,4,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,2,4,4,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0
8 - Σερρών,38 E.T. Δήμου Βισαλτίας,417,152,0,1,1,151,32,1,7,6,3,7,0,8,1,76,37,6,24,16,18,0,17,3,7,4,1,2,1,1,0,8,0,0,0,4,0,5,1,3,16,2,0,1,11,5,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,0,0,0,0,0
8 - Σερρών,39 E.T. Δήμου Βισαλτίας,147,82,2,1,3,79,17,0,3,2,2,4,3,5,4,42,31,1,13,15,0,2,8,6,0,0,0,0,0,0,0,4,0,1,0,2,1,1,1,0,7,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,1,0,0,1,2,0,0,0,0,0,0
8 - Σερρών,40 E.T. Δήμου Βισαλτίας,316,143,0,0,0,143,24,3,5,3,5,5,3,6,2,68,29,7,26,29,5,0,8,12,6,2,0,2,0,0,0,22,1,3,0,10,7,11,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,0,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,1,1,1,0,2,0,1,0,0,0,0,0
